username,datetime,contribution
PepperCai,2018-09-17,0
PepperCai,2018-09-18,0
PepperCai,2018-09-19,0
PepperCai,2018-09-20,0
PepperCai,2018-09-21,0
PepperCai,2018-09-22,0
PepperCai,2018-09-23,0
PepperCai,2018-09-24,0
PepperCai,2018-09-25,0
PepperCai,2018-09-26,0
PepperCai,2018-09-27,0
PepperCai,2018-09-28,0
PepperCai,2018-09-29,0
PepperCai,2018-09-30,0
PepperCai,2018-10-01,0
PepperCai,2018-10-02,0
PepperCai,2018-10-03,0
PepperCai,2018-10-04,0
PepperCai,2018-10-05,0
PepperCai,2018-10-06,0
PepperCai,2018-10-07,0
PepperCai,2018-10-08,0
PepperCai,2018-10-09,0
PepperCai,2018-10-10,0
PepperCai,2018-10-11,0
PepperCai,2018-10-12,0
PepperCai,2018-10-13,0
PepperCai,2018-10-14,0
PepperCai,2018-10-15,0
PepperCai,2018-10-16,0
PepperCai,2018-10-17,0
PepperCai,2018-10-18,0
PepperCai,2018-10-19,0
PepperCai,2018-10-20,0
PepperCai,2018-10-21,0
PepperCai,2018-10-22,0
PepperCai,2018-10-23,0
DidoChan,2018-09-17,0
DidoChan,2018-09-18,0
DidoChan,2018-09-19,0
DidoChan,2018-09-20,0
DidoChan,2018-09-21,0
DidoChan,2018-09-22,0
DidoChan,2018-09-23,0
DidoChan,2018-09-24,0
DidoChan,2018-09-25,0
DidoChan,2018-09-26,0
DidoChan,2018-09-27,0
DidoChan,2018-09-28,0
DidoChan,2018-09-29,0
DidoChan,2018-09-30,0
DidoChan,2018-10-01,0
DidoChan,2018-10-02,0
DidoChan,2018-10-03,0
DidoChan,2018-10-04,0
DidoChan,2018-10-05,0
DidoChan,2018-10-06,0
DidoChan,2018-10-07,0
DidoChan,2018-10-08,0
DidoChan,2018-10-09,0
DidoChan,2018-10-10,0
DidoChan,2018-10-11,0
DidoChan,2018-10-12,0
DidoChan,2018-10-13,0
DidoChan,2018-10-14,0
DidoChan,2018-10-15,0
DidoChan,2018-10-16,0
DidoChan,2018-10-17,0
DidoChan,2018-10-18,0
DidoChan,2018-10-19,0
DidoChan,2018-10-20,0
DidoChan,2018-10-21,5
DidoChan,2018-10-22,1
DidoChan,2018-10-23,0
Shinonomee,2018-09-17,0
Shinonomee,2018-09-18,0
Shinonomee,2018-09-19,0
Shinonomee,2018-09-20,0
Shinonomee,2018-09-21,0
Shinonomee,2018-09-22,0
Shinonomee,2018-09-23,0
Shinonomee,2018-09-24,0
Shinonomee,2018-09-25,0
Shinonomee,2018-09-26,0
Shinonomee,2018-09-27,0
Shinonomee,2018-09-28,0
Shinonomee,2018-09-29,0
Shinonomee,2018-09-30,0
Shinonomee,2018-10-01,0
Shinonomee,2018-10-02,0
Shinonomee,2018-10-03,0
Shinonomee,2018-10-04,0
Shinonomee,2018-10-05,0
Shinonomee,2018-10-06,0
Shinonomee,2018-10-07,0
Shinonomee,2018-10-08,0
Shinonomee,2018-10-09,0
Shinonomee,2018-10-10,0
Shinonomee,2018-10-11,0
Shinonomee,2018-10-12,0
Shinonomee,2018-10-13,0
Shinonomee,2018-10-14,0
Shinonomee,2018-10-15,0
Shinonomee,2018-10-16,0
Shinonomee,2018-10-17,0
Shinonomee,2018-10-18,0
Shinonomee,2018-10-19,0
Shinonomee,2018-10-20,0
Shinonomee,2018-10-21,0
Shinonomee,2018-10-22,0
Shinonomee,2018-10-23,2
Jasmine-dudu,2018-09-17,0
Jasmine-dudu,2018-09-18,0
Jasmine-dudu,2018-09-19,0
Jasmine-dudu,2018-09-20,0
Jasmine-dudu,2018-09-21,0
Jasmine-dudu,2018-09-22,0
Jasmine-dudu,2018-09-23,0
Jasmine-dudu,2018-09-24,0
Jasmine-dudu,2018-09-25,0
Jasmine-dudu,2018-09-26,0
Jasmine-dudu,2018-09-27,0
Jasmine-dudu,2018-09-28,0
Jasmine-dudu,2018-09-29,0
Jasmine-dudu,2018-09-30,0
Jasmine-dudu,2018-10-01,0
Jasmine-dudu,2018-10-02,0
Jasmine-dudu,2018-10-03,0
Jasmine-dudu,2018-10-04,0
Jasmine-dudu,2018-10-05,0
Jasmine-dudu,2018-10-06,0
Jasmine-dudu,2018-10-07,0
Jasmine-dudu,2018-10-08,0
Jasmine-dudu,2018-10-09,0
Jasmine-dudu,2018-10-10,0
Jasmine-dudu,2018-10-11,0
Jasmine-dudu,2018-10-12,0
Jasmine-dudu,2018-10-13,0
Jasmine-dudu,2018-10-14,0
Jasmine-dudu,2018-10-15,0
Jasmine-dudu,2018-10-16,0
Jasmine-dudu,2018-10-17,1
Jasmine-dudu,2018-10-18,0
Jasmine-dudu,2018-10-19,0
Jasmine-dudu,2018-10-20,0
Jasmine-dudu,2018-10-21,0
Jasmine-dudu,2018-10-22,0
Jasmine-dudu,2018-10-23,0
FLYSTEPHEN,2018-09-17,9
FLYSTEPHEN,2018-09-18,0
FLYSTEPHEN,2018-09-19,0
FLYSTEPHEN,2018-09-20,0
FLYSTEPHEN,2018-09-21,0
FLYSTEPHEN,2018-09-22,0
FLYSTEPHEN,2018-09-23,1
FLYSTEPHEN,2018-09-24,3
FLYSTEPHEN,2018-09-25,0
FLYSTEPHEN,2018-09-26,0
FLYSTEPHEN,2018-09-27,0
FLYSTEPHEN,2018-09-28,1
FLYSTEPHEN,2018-09-29,0
FLYSTEPHEN,2018-09-30,0
FLYSTEPHEN,2018-10-01,0
FLYSTEPHEN,2018-10-02,0
FLYSTEPHEN,2018-10-03,0
FLYSTEPHEN,2018-10-04,0
FLYSTEPHEN,2018-10-05,0
FLYSTEPHEN,2018-10-06,1
FLYSTEPHEN,2018-10-07,0
FLYSTEPHEN,2018-10-08,0
FLYSTEPHEN,2018-10-09,0
FLYSTEPHEN,2018-10-10,0
FLYSTEPHEN,2018-10-11,0
FLYSTEPHEN,2018-10-12,1
FLYSTEPHEN,2018-10-13,1
FLYSTEPHEN,2018-10-14,0
FLYSTEPHEN,2018-10-15,12
FLYSTEPHEN,2018-10-16,0
FLYSTEPHEN,2018-10-17,0
FLYSTEPHEN,2018-10-18,2
FLYSTEPHEN,2018-10-19,4
FLYSTEPHEN,2018-10-20,0
FLYSTEPHEN,2018-10-21,0
FLYSTEPHEN,2018-10-22,12
FLYSTEPHEN,2018-10-23,5
guminyi,2018-09-17,0
guminyi,2018-09-18,0
guminyi,2018-09-19,0
guminyi,2018-09-20,0
guminyi,2018-09-21,0
guminyi,2018-09-22,0
guminyi,2018-09-23,0
guminyi,2018-09-24,0
guminyi,2018-09-25,0
guminyi,2018-09-26,0
guminyi,2018-09-27,0
guminyi,2018-09-28,0
guminyi,2018-09-29,0
guminyi,2018-09-30,0
guminyi,2018-10-01,0
guminyi,2018-10-02,0
guminyi,2018-10-03,0
guminyi,2018-10-04,0
guminyi,2018-10-05,0
guminyi,2018-10-06,0
guminyi,2018-10-07,0
guminyi,2018-10-08,0
guminyi,2018-10-09,0
guminyi,2018-10-10,0
guminyi,2018-10-11,0
guminyi,2018-10-12,0
guminyi,2018-10-13,0
guminyi,2018-10-14,0
guminyi,2018-10-15,0
guminyi,2018-10-16,0
guminyi,2018-10-17,0
guminyi,2018-10-18,0
guminyi,2018-10-19,0
guminyi,2018-10-20,0
guminyi,2018-10-21,0
guminyi,2018-10-22,1
guminyi,2018-10-23,0
trista520,2018-09-17,0
trista520,2018-09-18,0
trista520,2018-09-19,0
trista520,2018-09-20,0
trista520,2018-09-21,0
trista520,2018-09-22,0
trista520,2018-09-23,0
trista520,2018-09-24,0
trista520,2018-09-25,0
trista520,2018-09-26,0
trista520,2018-09-27,0
trista520,2018-09-28,0
trista520,2018-09-29,0
trista520,2018-09-30,0
trista520,2018-10-01,0
